Name		Au_4f7/2	Au_4f5/2	Ba_4d5/2				
Position		83.74	87.65	89.08				
FWHM		0.97	1.01	2.15				
Area		23569.09	16538.18	6468.17				
Lineshape		LF(1,20,1,50)	LF(1,1,500,280,8)	LA(1.53,243)				

B.E.	Cycle 0:180524 Ni-BZY Cell 1:Au_4f_Sect:CPS	Au_4f_Sect:Au_4f7/2	Au_4f_Sect:Au_4f5/2	Au_4f_Sect:Ba_4d5/2	Background	Envelope		
9.248730e+001	4.324809e+003	4.324854e+003	4.340355e+003	4.355846e+003	4.324809e+003	4.371436e+003		
9.238730e+001	4.146571e+003	4.146619e+003	4.162966e+003	4.181641e+003	4.146571e+003	4.198084e+003		
9.228730e+001	4.032527e+003	4.032578e+003	4.049802e+003	4.072415e+003	4.032527e+003	4.089742e+003		
9.218730e+001	4.092537e+003	3.992463e+003	4.010650e+003	4.038077e+003	3.992408e+003	4.056374e+003		
9.208730e+001	4.000552e+003	3.952221e+003	3.971429e+003	4.004804e+003	3.952161e+003	4.024132e+003		
9.198730e+001	3.916805e+003	3.911845e+003	3.932134e+003	3.972912e+003	3.911780e+003	3.993329e+003		
9.188730e+001	4.045159e+003	3.871332e+003	3.892818e+003	3.942754e+003	3.871262e+003	3.964378e+003		
9.178730e+001	4.005637e+003	3.830699e+003	3.853432e+003	3.914792e+003	3.830624e+003	3.937675e+003		
9.168730e+001	3.984798e+003	3.789947e+003	3.814062e+003	3.889582e+003	3.789867e+003	3.913858e+003		
9.158730e+001	4.000913e+003	3.749079e+003	3.774674e+003	3.867852e+003	3.748992e+003	3.893622e+003		
9.148730e+001	3.607643e+003	3.708100e+003	3.735270e+003	3.850339e+003	3.708006e+003	3.877698e+003		
9.138730e+001	3.669013e+003	3.666978e+003	3.695918e+003	3.837909e+003	3.666875e+003	3.867054e+003		
9.128730e+001	3.516529e+003	3.625722e+003	3.656518e+003	3.831658e+003	3.625611e+003	3.862676e+003		
9.118730e+001	3.564352e+003	3.584322e+003	3.617203e+003	3.832748e+003	3.584202e+003	3.865870e+003		
9.108730e+001	3.578535e+003	3.542789e+003	3.577931e+003	3.842329e+003	3.542659e+003	3.877732e+003		
9.098730e+001	3.529989e+003	3.501130e+003	3.538694e+003	3.861649e+003	3.500987e+003	3.899498e+003		
9.088730e+001	3.829331e+003	3.459344e+003	3.499690e+003	3.892121e+003	3.459189e+003	3.932777e+003		
9.078730e+001	3.934628e+003	3.417467e+003	3.460755e+003	3.934789e+003	3.417298e+003	3.978415e+003		
9.068730e+001	3.954437e+003	3.375515e+003	3.422167e+003	3.990538e+003	3.375330e+003	4.037561e+003		
9.058730e+001	3.958609e+003	3.333494e+003	3.383862e+003	4.060027e+003	3.333292e+003	4.110799e+003		
9.048730e+001	4.271401e+003	3.291412e+003	3.345807e+003	4.143644e+003	3.291191e+003	4.198482e+003		
9.038730e+001	4.692558e+003	3.249306e+003	3.308468e+003	4.240824e+003	3.249063e+003	4.300472e+003		
9.028730e+001	4.433514e+003	3.207221e+003	3.271491e+003	4.350611e+003	3.206955e+003	4.415414e+003		
9.018730e+001	4.407081e+003	3.165140e+003	3.235419e+003	4.471354e+003	3.164847e+003	4.542219e+003		
9.008730e+001	4.790456e+003	3.123066e+003	3.200168e+003	4.600489e+003	3.122743e+003	4.678238e+003		
8.998730e+001	4.991985e+003	3.081042e+003	3.165672e+003	4.734688e+003	3.080685e+003	4.820031e+003		
8.988730e+001	5.377675e+003	3.039096e+003	3.133103e+003	4.870027e+003	3.038701e+003	4.964824e+003		
8.978730e+001	5.495892e+003	2.997270e+003	3.101569e+003	5.001884e+003	2.996834e+003	5.107055e+003		
8.968730e+001	5.453323e+003	2.955585e+003	3.072617e+003	5.125267e+003	2.955101e+003	5.243267e+003		
8.958730e+001	5.246497e+003	2.914043e+003	3.046432e+003	5.235088e+003	2.913505e+003	5.368554e+003		
8.948730e+001	5.505276e+003	2.872629e+003	3.022566e+003	5.326238e+003	2.872030e+003	5.477373e+003		
8.938730e+001	5.601359e+003	2.831377e+003	3.006232e+003	5.393714e+003	2.830709e+003	5.569905e+003		
8.928730e+001	5.374554e+003	2.790304e+003	2.994693e+003	5.433883e+003	2.789558e+003	5.639765e+003		
8.918730e+001	5.229331e+003	2.749395e+003	2.996378e+003	5.443684e+003	2.748559e+003	5.692339e+003		
8.908730e+001	5.380212e+003	2.708643e+003	3.018924e+003	5.420802e+003	2.707705e+003	5.732959e+003		
8.898730e+001	5.466561e+003	2.668072e+003	3.058348e+003	5.364582e+003	2.667017e+003	5.756968e+003		
8.888730e+001	5.604225e+003	2.627699e+003	3.174873e+003	5.275955e+003	2.626509e+003	5.825509e+003		
8.878730e+001	6.267038e+003	2.587546e+003	3.343215e+003	5.156779e+003	2.586202e+003	5.915137e+003		
8.868730e+001	6.083450e+003	2.547689e+003	3.656100e+003	5.009663e+003	2.546166e+003	6.121120e+003		
8.858730e+001	6.631019e+003	2.508121e+003	4.163413e+003	4.839004e+003	2.506391e+003	6.497757e+003		
8.848730e+001	6.967845e+003	2.468906e+003	4.822412e+003	4.649518e+003	2.466936e+003	7.006964e+003		
8.838730e+001	8.179448e+003	2.430091e+003	5.823903e+003	4.446187e+003	2.427840e+003	7.844501e+003		
8.828730e+001	9.513323e+003	2.391810e+003	7.190965e+003	4.234279e+003	2.389231e+003	9.038593e+003		
8.818730e+001	1.074682e+004	2.354209e+003	8.885146e+003	4.019101e+003	2.351244e+003	1.055597e+004		
8.808730e+001	1.243631e+004	2.317428e+003	1.081444e+004	3.805349e+003	2.314008e+003	1.230920e+004		
8.798730e+001	1.397357e+004	2.281653e+003	1.280349e+004	3.597302e+003	2.277697e+003	1.412705e+004		
8.788730e+001	1.492473e+004	2.247060e+003	1.461088e+004	3.398513e+003	2.242466e+003	1.577152e+004		
8.778730e+001	1.631359e+004	2.213769e+003	1.597365e+004	3.211581e+003	2.208416e+003	1.698217e+004		
8.768730e+001	1.771752e+004	2.181951e+003	1.666908e+004	3.038434e+003	2.175690e+003	1.753808e+004		
8.758730e+001	1.746826e+004	2.151784e+003	1.657394e+004	2.880539e+003	2.144431e+003	1.731740e+004		
8.748730e+001	1.663800e+004	2.123292e+003	1.569922e+004	2.738066e+003	2.114619e+003	1.633134e+004		
8.738730e+001	1.549522e+004	2.096458e+003	1.418705e+004	2.610768e+003	2.086178e+003	1.472192e+004		
8.728730e+001	1.283259e+004	2.071241e+003	1.227079e+004	2.498024e+003	2.059000e+003	1.272205e+004		
8.718730e+001	1.057851e+004	2.047473e+003	1.021376e+004	2.398775e+003	2.032825e+003	1.059435e+004		
8.708730e+001	8.393068e+003	2.025053e+003	8.249201e+003	2.311504e+003	2.007437e+003	8.570884e+003		
8.698730e+001	6.166093e+003	2.003922e+003	6.539728e+003	2.234786e+003	1.982623e+003	6.813190e+003		
8.688730e+001	5.108620e+003	1.984063e+003	5.164267e+003	2.167253e+003	1.958168e+003	5.399247e+003		
8.678730e+001	3.885637e+003	1.965637e+003	4.179292e+003	2.107523e+003	1.933971e+003	4.384510e+003		
8.668730e+001	3.536295e+003	1.948876e+003	3.456783e+003	2.054281e+003	1.909916e+003	3.640107e+003		
8.658730e+001	3.218429e+003	1.934210e+003	2.940246e+003	2.006465e+003	1.885972e+003	3.108976e+003		
8.648730e+001	3.069076e+003	1.922288e+003	2.563466e+003	1.963203e+003	1.862113e+003	2.724732e+003		
8.638730e+001	2.925786e+003	1.913948e+003	2.360419e+003	1.923604e+003	1.838326e+003	2.521318e+003		
8.628730e+001	2.787951e+003	1.910318e+003	2.193300e+003	1.886986e+003	1.814603e+003	2.361397e+003		
8.618730e+001	2.483386e+003	1.912973e+003	2.089518e+003	1.852794e+003	1.790934e+003	2.273418e+003		
8.608730e+001	2.496210e+003	1.924058e+003	2.008380e+003	1.820548e+003	1.767292e+003	2.218401e+003		
8.598730e+001	2.327219e+003	1.946562e+003	1.942087e+003	1.789851e+003	1.743684e+003	2.191133e+003		
8.588730e+001	2.423726e+003	1.984579e+003	1.891521e+003	1.760393e+003	1.720096e+003	2.196301e+003		
8.578730e+001	2.490414e+003	2.043762e+003	1.844301e+003	1.731959e+003	1.696542e+003	2.226937e+003		
8.568730e+001	2.823493e+003	2.131830e+003	1.803184e+003	1.704363e+003	1.673033e+003	2.293311e+003		
8.558730e+001	2.963206e+003	2.259462e+003	1.765107e+003	1.677486e+003	1.649607e+003	2.402841e+003		
8.548730e+001	2.968854e+003	2.441998e+003	1.728999e+003	1.651226e+003	1.626280e+003	2.569663e+003		
8.538730e+001	3.284140e+003	2.697256e+003	1.695932e+003	1.625499e+003	1.603057e+003	2.812573e+003		
8.528730e+001	3.576263e+003	3.048928e+003	1.663769e+003	1.600256e+003	1.579975e+003	3.153003e+003		
8.518730e+001	3.992866e+003	3.525911e+003	1.633299e+003	1.575469e+003	1.557066e+003	3.620548e+003		
8.508730e+001	4.839926e+003	4.161562e+003	1.603994e+003	1.551138e+003	1.534374e+003	4.247946e+003		
8.498730e+001	5.597293e+003	4.991484e+003	1.575574e+003	1.527314e+003	1.511989e+003	5.070393e+003		
8.488730e+001	6.586146e+003	6.049268e+003	1.548619e+003	1.504040e+003	1.489988e+003	6.121951e+003		
8.478730e+001	7.517643e+003	7.360104e+003	1.522452e+003	1.481395e+003	1.468473e+003	7.427004e+003		
8.468730e+001	8.954989e+003	8.932599e+003	1.497473e+003	1.459456e+003	1.447541e+003	8.994446e+003		
8.458730e+001	1.029584e+004	1.075281e+004	1.473640e+003	1.438350e+003	1.427336e+003	1.081013e+004		
8.448730e+001	1.182590e+004	1.276605e+004	1.450919e+003	1.418199e+003	1.407995e+003	1.281918e+004		
8.438730e+001	1.411380e+004	1.487676e+004	1.429723e+003	1.399146e+003	1.389672e+003	1.492628e+004		
8.428730e+001	1.753482e+004	1.694786e+004	1.409919e+003	1.381411e+003	1.372596e+003	1.699400e+004		
8.418730e+001	1.873535e+004	1.879868e+004	1.391997e+003	1.365325e+003	1.357109e+003	1.884179e+004		
8.408730e+001	2.047537e+004	2.021212e+004	1.376001e+003	1.351003e+003	1.343330e+003	2.025247e+004		
8.398730e+001	2.135297e+004	2.095710e+004	1.362013e+003	1.338612e+003	1.331436e+003	2.099485e+004		
8.388730e+001	2.092314e+004	2.083261e+004	1.350270e+003	1.328237e+003	1.321514e+003	2.086809e+004		
8.378730e+001	1.978323e+004	1.973112e+004	1.340538e+003	1.319832e+003	1.313523e+003	1.976445e+004		
8.368730e+001	1.819533e+004	1.769919e+004	1.332787e+003	1.313315e+003	1.307354e+003	1.773059e+004		
8.358730e+001	1.504151e+004	1.495836e+004	1.326826e+003	1.308557e+003	1.302849e+003	1.498805e+004		
8.348730e+001	1.152781e+004	1.190209e+004	1.322289e+003	1.305155e+003	1.299700e+003	1.193013e+004		
8.338730e+001	8.775138e+003	8.935828e+003	1.318921e+003	1.302762e+003	1.297559e+003	8.962392e+003		
8.328730e+001	5.783461e+003	6.385440e+003	1.316338e+003	1.301106e+003	1.296156e+003	6.410572e+003		
8.318730e+001	4.449214e+003	4.424765e+003	1.314292e+003	1.299892e+003	1.295196e+003	4.448559e+003		
8.308730e+001	3.537420e+003	3.069273e+003	1.312635e+003	1.298990e+003	1.294546e+003	3.091806e+003		
8.298730e+001	2.781847e+003	2.222863e+003	1.311241e+003	1.298308e+003	1.294118e+003	2.244178e+003		
8.288730e+001	2.083461e+003	1.743555e+003	1.310094e+003	1.297774e+003	1.293836e+003	1.763751e+003		
8.278730e+001	1.979766e+003	1.496284e+003	1.309056e+003	1.297317e+003	1.293632e+003	1.515393e+003		
8.268730e+001	1.713397e+003	1.380199e+003	1.308144e+003	1.296928e+003	1.293496e+003	1.398279e+003		
8.258730e+001	1.626890e+003	1.329490e+003	1.307325e+003	1.296654e+003	1.293401e+003	1.346667e+003		
8.248730e+001	1.602229e+003	1.308365e+003	1.306566e+003	1.296472e+003	1.293340e+003	1.324724e+003		
8.238730e+001	1.459469e+003	1.299941e+003	1.305904e+003	1.296320e+003	1.293308e+003	1.315548e+003		
8.228730e+001	1.277962e+003	1.296650e+003	1.305278e+003	1.296184e+003	1.293293e+003	1.311526e+003		
8.218730e+001	1.098121e+003	1.295321e+003	1.304692e+003	1.296049e+003	1.293278e+003	1.309505e+003		
8.208730e+001	1.218015e+003	1.294727e+003	1.304141e+003	1.295913e+003	1.293263e+003	1.308255e+003		
8.198730e+001	1.444777e+003	1.294418e+003	1.303608e+003	1.295777e+003	1.293248e+003	1.307306e+003		
8.188730e+001	1.145297e+003	1.294246e+003	1.303136e+003	1.295657e+003	1.293248e+003	1.306542e+003		
8.178730e+001	1.168875e+003	1.294134e+003	1.302677e+003	1.295536e+003	1.293248e+003	1.305851e+003		
8.168730e+001	1.218556e+003	1.294054e+003	1.302246e+003	1.295415e+003	1.293248e+003	1.305219e+003		
8.158730e+001	1.099788e+003	1.293993e+003	1.301841e+003	1.295295e+003	1.293248e+003	1.304632e+003		
8.148730e+001	1.088482e+003	1.293944e+003	1.301447e+003	1.295220e+003	1.293248e+003	1.304114e+003		
8.138730e+001	1.143609e+003	1.293903e+003	1.301086e+003	1.295155e+003	1.293248e+003	1.303647e+003		
8.128730e+001	9.558705e+002	1.293867e+003	1.300736e+003	1.295090e+003	1.293248e+003	1.303196e+003		
8.118730e+001	1.113514e+003	1.293835e+003	1.300404e+003	1.295025e+003	1.293248e+003	1.302767e+003		
8.108730e+001	1.262049e+003	1.293805e+003	1.300091e+003	1.294960e+003	1.293248e+003	1.302360e+003		
8.098730e+001	1.012138e+003	1.293778e+003	1.299787e+003	1.294895e+003	1.293248e+003	1.301963e+003		
8.088730e+001	1.287452e+003	1.293752e+003	1.299507e+003	1.294830e+003	1.293248e+003	1.301591e+003		
8.078730e+001	1.202866e+003	1.293727e+003	1.299235e+003	1.294764e+003	1.293248e+003	1.301229e+003		
8.068730e+001	1.137166e+003	1.293703e+003	1.298976e+003	1.294699e+003	1.293248e+003	1.300882e+003		
8.058730e+001	1.293248e+003	1.293680e+003	1.298732e+003	1.294634e+003	1.293248e+003	1.300549e+003		
8.048730e+001	1.085955e+003	1.086365e+003	1.091201e+003	1.087279e+003	1.085955e+003	1.092934e+003		
