Name			
Position			
FWHM			
Area			
Lineshape			

B.E.	Cycle 0:180524 Ni-BZY Cell 1:N1s_Sect:CPS		
4.044870e+002	2.870244e+003		
4.042870e+002	2.882176e+003		
4.040870e+002	2.862930e+003		
4.038870e+002	2.912049e+003		
4.036870e+002	2.598100e+003		
4.034870e+002	2.920541e+003		
4.032870e+002	2.774066e+003		
4.030870e+002	2.824352e+003		
4.028870e+002	2.997473e+003		
4.026870e+002	2.664225e+003		
4.024870e+002	2.801709e+003		
4.022870e+002	2.785170e+003		
4.020870e+002	2.479098e+003		
4.018870e+002	2.703790e+003		
4.016870e+002	2.753429e+003		
4.014870e+002	2.865042e+003		
4.012870e+002	2.843705e+003		
4.010870e+002	2.897017e+003		
4.008870e+002	2.778121e+003		
4.006870e+002	3.117877e+003		
4.004870e+002	2.750711e+003		
4.002870e+002	2.773790e+003		
4.000870e+002	2.766529e+003		
3.998870e+002	2.795488e+003		
3.996870e+002	2.717909e+003		
3.994870e+002	2.854002e+003		
3.992870e+002	2.798248e+003		
3.990870e+002	2.927707e+003		
3.988870e+002	2.679045e+003		
3.986870e+002	2.822389e+003		
3.984870e+002	2.756476e+003		
3.982870e+002	2.785074e+003		
3.980870e+002	2.649936e+003		
3.978870e+002	2.779544e+003		
3.976870e+002	2.811762e+003		
3.974870e+002	2.984777e+003		
3.972870e+002	2.960817e+003		
3.970870e+002	2.739565e+003		
3.968870e+002	2.879565e+003		
3.966870e+002	2.931083e+003		
3.964870e+002	2.911677e+003		
3.962870e+002	3.012463e+003		
3.960870e+002	3.086921e+003		
3.958870e+002	2.833694e+003		
3.956870e+002	2.635775e+003		
3.954870e+002	2.816476e+003		
3.952870e+002	2.837272e+003		
3.950870e+002	2.575510e+003		
3.948870e+002	2.851486e+003		
3.946870e+002	2.692962e+003		
3.944870e+002	2.869172e+003		
